State,Action,QValue
HPState: 13; ManaState: 0; LevelState: 2,PickUpChest(Chest0),-0.7470564
HPState: 13; ManaState: 0; LevelState: 2,SwordAttack(Orc2),0.02409328
HPState: 13; ManaState: 0; LevelState: 2,SwordAttack(Skelleton0),-0.1014284
HPState: 13; ManaState: 0; LevelState: 2,DivineSmite(Skelleton4),-0.045
HPState: 13; ManaState: 0; LevelState: 2,DivineSmite(Skelleton0),-0.05
HPState: 1; ManaState: 0; LevelState: 2,PickUpChest(Chest1),-21.29697
HPState: 1; ManaState: 0; LevelState: 2,PickUpChest(Chest2),-14.36622
HPState: 1; ManaState: 0; LevelState: 2,PickUpChest(Chest3),-18.99799
HPState: 1; ManaState: 0; LevelState: 2,PickUpChest(Chest0),-19.50652
HPState: 1; ManaState: 0; LevelState: 2,SwordAttack(Mighty Dragon),-49.60313
HPState: 1; ManaState: 0; LevelState: 2,SwordAttack(Skelleton1),-6.901122
HPState: 1; ManaState: 0; LevelState: 2,SwordAttack(Skelleton2),-9.030935
HPState: 1; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion1),-0.3878722
HPState: 1; ManaState: 0; LevelState: 2,SwordAttack(Skelleton3),-25.1768
HPState: 1; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion0),-12.29654
HPState: 1; ManaState: 0; LevelState: 2,PickUpChest(Chest4),-51.74709
HPState: 1; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion0),-21.38866
HPState: 1; ManaState: 0; LevelState: 2,SwordAttack(Orc0),-27.9802
HPState: 1; ManaState: 0; LevelState: 2,SwordAttack(Skelleton4),-22.79797
HPState: 1; ManaState: 0; LevelState: 2,SwordAttack(Orc2),-22.51647
HPState: 1; ManaState: 0; LevelState: 2,SwordAttack(Orc1),-49.99265
HPState: 1; ManaState: 0; LevelState: 2,SwordAttack(Skelleton0),-16.79089
HPState: 1; ManaState: 0; LevelState: 2,LevelUp,-10.65609
HPState: 1; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion1),-7.47088
HPState: 1; ManaState: 0; LevelState: 2,DivineSmite(Skelleton3),-8.585081
HPState: 1; ManaState: 0; LevelState: 2,DivineSmite(Skelleton1),-5.001851
HPState: 1; ManaState: 0; LevelState: 2,DivineSmite(Skelleton4),-0.06500001
